item_id,source_row_id,ownership_status,inventory_status,card_name,card_number,set_code,set_name,product_name,rarity,variant,finish,language,condition,grade_company,grade,cert_number,quantity,sealed_or_single,raw_or_slab,cost_basis_zar,cost_status,collectr_market_zar,research_market_usd,research_market_zar,quick_sale_zar,fair_market_zar,patient_local_ask_zar,event_ask_zar,online_ask_usd,online_ask_zar,stretch_ask_zar,walkaway_minimum_zar,expected_net_local_zar,expected_net_ebay_zar,expected_net_cardtrader_zar,expected_net_cardmarket_zar,expected_net_tcgplayer_zar,grading_candidate_score,psa10_estimate_usd,bgs10_estimate_usd,cgc10_estimate_usd,availability_score,liquidity_score,trend_score,confidence_rating,last_researched_at,source_links,notes
0001-monkey-d-dragon-015-op07-015,1,in_hand,available_for_pricing,Monkey.D.Dragon (015),OP07-015,OP07,500 Years in the Future,Monkey.D.Dragon (015),SR,base_or_standard,Foil,Unknown,Near Mint,RAW,,,2,single,raw,,unknown_or_box_pull,16.90,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0002-jewelry-bonney-026-jp-op07-026,2,in_hand,available_for_pricing,Jewelry Bonney (026) (JP),OP07-026,OP07,500 Years In The Future,Jewelry Bonney (026) (JP),SR,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,41.42,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0003-monkey-d-luffy-109-jp-op07-109,3,in_hand,available_for_pricing,Monkey.D.Luffy (109) (JP),OP07-109,OP07,500 Years In The Future,Monkey.D.Luffy (109) (JP),SR,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,112.67,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0004-sabo-parallel-jp-op07-118,4,in_hand,available_for_pricing,Sabo (Parallel) (JP),OP07-118,OP07,500 Years In The Future,Sabo (Parallel) (JP),SEC,parallel,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,69.59,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0005-sanji-jp-op07-064,5,in_hand,available_for_pricing,Sanji (JP),OP07-064,OP07,500 Years In The Future,Sanji (JP),SR,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,79.53,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0006-slave-arrow-jp-op07-056,6,in_hand,available_for_pricing,Slave Arrow (JP),OP07-056,OP07,500 Years In The Future,Slave Arrow (JP),UC,base_or_standard,Normal,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,46.39,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0007-don-card-luffy-gold,7,in_hand,available_for_pricing,DON!! Card (Luffy) (Gold),,,Adventure on Kami's Island,DON!! Card (Luffy) (Gold),DON!!,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,161.55,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0008-gan-fall-op15-102,8,in_hand,available_for_pricing,Gan.Fall,OP15-102,OP15,Adventure on Kami's Island,Gan.Fall,R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,2.15,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0009-jewelry-bonney-eb04-002-eb04-002,9,in_hand,available_for_pricing,Jewelry Bonney (EB04-002),EB04-002,EB04,Adventure on Kami's Island,Jewelry Bonney (EB04-002),R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,3.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0010-monkey-d-luffy-op15-098-op15-098,10,in_hand,available_for_pricing,Monkey.D.Luffy (OP15-098),OP15-098,OP15,Adventure on Kami's Island,Monkey.D.Luffy (OP15-098),L,base_or_standard,Normal,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,2.32,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
