Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-08),Price Override,Watchlist,Date Added,Notes
Main,One Piece,500 Years in the Future,Monkey.D.Dragon (015),OP07-015,SR,Foil,Ungraded,Near Mint,0,2,8.45,0,false,2026-06-02,
Main,One Piece,500 Years In The Future,Jewelry Bonney (026) (JP),OP07-026,SR,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-02,
Main,One Piece,500 Years In The Future,Monkey.D.Luffy (109) (JP),OP07-109,SR,Foil,Ungraded,Near Mint,0,1,112.67,0,false,2026-06-02,
Main,One Piece,500 Years In The Future,Sabo (Parallel) (JP),OP07-118,SEC,Foil,Ungraded,Near Mint,0,1,69.59,0,false,2026-06-02,
Main,One Piece,500 Years In The Future,Sanji (JP),OP07-064,SR,Foil,Ungraded,Near Mint,0,1,79.53,0,false,2026-06-02,
Main,One Piece,500 Years In The Future,Slave Arrow (JP),OP07-056,UC,Normal,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Adventure on Kami's Island,DON!! Card (Luffy) (Gold),,DON!!,Foil,Ungraded,Near Mint,0,1,161.55,0,false,2026-06-06,
Main,One Piece,Adventure on Kami's Island,Gan.Fall,OP15-102,R,Foil,Ungraded,Near Mint,0,1,2.15,0,false,2026-06-06,
Main,One Piece,Adventure on Kami's Island,Jewelry Bonney (EB04-002),EB04-002,R,Foil,Ungraded,Near Mint,0,1,3.48,0,false,2026-06-06,
Main,One Piece,Adventure on Kami's Island,Monkey.D.Luffy (OP15-098),OP15-098,L,Normal,Ungraded,Near Mint,0,1,2.32,0,false,2026-06-06,
Main,One Piece,A Fist of Divine Speed,Gum-Gum Jet Culverin,OP11-061,UC,Normal,Ungraded,Near Mint,0,1,2.32,0,false,2026-05-26,
Main,One Piece,A Fist of Divine Speed,Monkey.D.Luffy (118),OP11-118,SEC,Foil,Ungraded,Near Mint,0,1,80.19,0,false,2026-06-02,
Main,One Piece,A Fist of Divine Speed,Sanji,OP11-051,SR,Foil,Ungraded,Near Mint,0,1,5.63,0,false,2026-05-30,
Main,One Piece,A Fist of Divine Speed,Shanks (SP),ST16-004,SR,Foil,Ungraded,Near Mint,0,1,"2,314.21",0,false,2026-06-06,
Main,One Piece,Carrying on His Will,Trafalgar Law (JP),OP13-031,R,Foil,Ungraded,Near Mint,0,1,28.9,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Divine Departure,OP13-076,R,Foil,Ungraded,Near Mint,0,1,29.16,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,DON!! Card (Gol.D.Roger),,DON!!,Foil,Ungraded,Near Mint,0,1,5.8,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Gol.D.Roger (003),OP13-003,L,Normal,Ungraded,Near Mint,0,1,2.15,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Gol.D.Roger (003) (Alternate Art),OP13-003,L,Foil,Ungraded,Near Mint,500.0001,1,548.6,0,false,2026-06-02,
Main,One Piece,Carrying On His Will,Monkey.D.Dragon,OP13-017,R,Foil,Ungraded,Near Mint,0,1,1.66,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Monkey.D.Garp,OP13-016,R,Foil,Ungraded,Near Mint,0,1,7.12,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Portgas.D.Ace (002),OP13-002,L,Normal,Ungraded,Near Mint,0,1,3.31,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Sabo (120) (Parallel),OP13-120,SEC,Foil,Ungraded,Near Mint,0,1,414.56,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Sabo - OP07-118 (SP),OP07-118,SEC,Foil,Ungraded,Near Mint,0,1,"1,222.3",0,false,2026-06-06,
